,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203914,00,0,28,26,32.0,3.8,8.9,0.431,1.4,3.9,0.358,1.8,2.1,0.833,0.6,2.5,3.1,2.0,1.0,0.4,1.1,3.0,10.8
0,203925,00,0,25,19,26.9,3.2,7.8,0.405,1.8,4.7,0.381,0.6,0.8,0.8,0.5,2.9,3.4,1.0,0.3,0.1,0.9,2.2,8.8
0,202699,00,0,33,33,37.1,6.9,15.2,0.456,1.4,4.2,0.341,2.7,3.2,0.856,1.3,7.6,8.9,3.8,0.9,0.5,1.5,2.5,18.0
0,1628392,00,0,2,0,1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.0
0,2617,00,0,147,84,21.7,2.3,4.7,0.48,0.0,0.0,0.0,1.1,1.6,0.713,1.6,4.0,5.6,0.6,0.4,0.3,0.8,2.6,5.7
0,1629637,00,0,1,1,11.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
0,202330,00,0,29,16,33.0,4.8,11.8,0.405,1.6,4.4,0.352,3.9,4.1,0.95,0.5,4.1,4.6,2.9,0.9,0.3,1.7,1.8,15.0
0,1627823,00,0,6,0,3.3,0.2,0.7,0.25,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.8,1.0,0.0,0.0,0.0,0.2,0.3,0.5
0,1629639,00,0,26,5,31.6,5.2,12.5,0.414,2.1,5.8,0.358,2.1,2.3,0.885,0.3,4.5,4.8,3.4,0.4,0.1,1.9,1.3,14.5
0,1629312,00,0,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,201588,00,0,139,91,30.7,3.8,8.5,0.453,1.3,3.4,0.372,2.5,3.1,0.801,0.7,2.3,3.0,2.6,0.9,0.2,1.3,2.2,11.4
0,1628988,00,0,7,2,12.2,2.0,3.7,0.538,0.7,1.6,0.455,0.4,0.7,0.6,0.1,0.6,0.7,1.4,0.6,0.0,0.7,1.9,5.1
0,201950,00,0,54,51,37.7,6.6,15.4,0.43,1.7,5.0,0.341,2.2,2.8,0.775,1.2,3.8,5.0,6.9,1.5,0.5,2.3,2.0,17.1
0,203200,00,0,9,2,15.8,1.2,2.6,0.478,1.0,1.9,0.529,0.1,0.3,0.333,0.4,1.3,1.8,0.4,0.7,0.6,0.6,1.0,3.6
0,1626158,00,0,3,0,3.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,0.0
0,203918,00,0,44,1,20.7,2.9,7.0,0.416,0.8,2.8,0.28,1.3,1.7,0.757,0.4,1.8,2.2,1.0,0.4,0.2,0.7,2.0,7.9
0,201143,00,0,125,123,34.6,5.6,11.1,0.502,0.6,1.5,0.409,1.9,2.4,0.78,2.0,6.2,8.2,3.5,0.8,1.2,1.6,2.5,13.6
0,1629659,00,0,6,0,10.9,2.8,6.0,0.472,0.5,1.7,0.3,0.5,0.8,0.6,0.3,2.8,3.2,0.3,0.5,0.0,0.5,1.2,6.7
0,1627863,00,0,17,4,25.9,3.0,7.5,0.398,1.6,5.1,0.322,0.8,1.2,0.667,0.8,3.6,4.4,0.8,0.6,0.1,0.7,2.1,8.5
0,2730,00,0,125,102,31.6,5.4,9.2,0.589,0.0,0.1,0.143,4.4,8.0,0.548,3.5,8.3,11.8,1.2,0.8,2.0,2.6,3.7,15.3
0,1630210,00,0,9,0,12.4,1.7,4.1,0.405,1.2,2.9,0.423,0.1,0.2,0.5,0.1,0.7,0.8,0.4,0.0,0.1,0.0,1.1,4.7
0,1628989,00,0,19,11,30.6,4.2,9.9,0.426,1.8,5.3,0.347,0.6,0.9,0.706,0.6,3.1,3.7,2.8,0.8,0.9,1.1,2.7,10.9
0,1629631,00,0,6,6,31.1,4.0,8.8,0.453,1.3,3.0,0.444,2.0,2.7,0.75,0.3,3.5,3.8,0.5,0.3,0.5,1.5,2.3,11.3
0,1630538,00,0,1,0,17.1,4.0,10.0,0.4,2.0,7.0,0.286,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,4.0,10.0
0,201586,00,0,146,102,28.1,4.5,8.9,0.502,0.6,1.7,0.387,1.4,1.8,0.792,1.9,4.7,6.5,0.7,0.4,2.0,1.0,3.1,11.0
0,2738,00,0,171,81,30.5,3.5,7.7,0.458,1.1,3.0,0.354,1.5,2.7,0.582,1.0,3.5,4.5,3.6,1.3,0.5,1.4,2.0,9.6
0,204060,00,0,45,40,31.3,3.4,7.8,0.439,2.1,5.4,0.392,0.7,1.0,0.733,0.3,3.5,3.8,3.8,1.1,0.2,1.4,2.3,9.8
0,1627742,00,0,1,1,38.7,6.0,17.0,0.353,1.0,2.0,0.5,5.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,5.0,3.0,18.0
0,202681,00,0,71,71,36.5,8.6,18.9,0.457,2.4,6.0,0.398,4.0,4.5,0.887,0.8,2.8,3.6,4.8,1.4,0.6,2.2,2.3,23.6
