,Player,2021-22
217,Rajon Rondo,2641691
218,Bruce Brown,4736102
219,Deni Avdija,4692840
220,Donte DiVincenzo,4675830
221,Cam Reddish,4670160
222,David Nwaba,4650000
223,Furkan Korkmaz,4629630
224,Davion Mitchell,4603320
225,Ish Smith,4500000
226,Jeff Green,4500000
227,Jalen Smith,4458000
228,Lonnie Walker IV,4447896
229,Cameron Johnson,4437000
230,Ziaire Williams,4373160
231,Maurice Harkless,4347600
232,Bobby Portis,4347600
233,Jarred Vanderbilt,4259259
234,Kevin Huerter,4253357
235,Devin Vassell,4235160
236,P.J. Washington,4215120
237,James Bouknight,4154400
238,Josh Okogie,4087904
239,Grayson Allen,4054695
240,Tyrese Haliburton,4023600
241,Tyler Herro,4004280
242,Dorian Finney-Smith,4000000
243,Terence Davis,4000000
244,George Hill,4000000
245,Gorgui Dieng,4000000
246,Aaron Holiday,3980551
247,Joshua Primo,3946800
248,Jake Layman,3940184
249,Anfernee Simons,3938818
250,Justise Winslow,3902439
251,Kira Lewis Jr.,3822240
252,Romeo Langford,3804360
253,Facundo Campazzo,3804150
254,Landry Shamet,3768342
255,Chris Duarte,3749520
256,Alex Len,3731707
257,Robert Williams,3661976
258,Jevon Carter,4107149
259,Aaron Nesmith,3631200
260,Moses Moody,3562080
261,Boban Marjanovi?,3500000
262,Mike Muscala,3500000
263,Cole Anthony,3449400
264,Corey Kispert,3383640
265,Trey Burke,3333333
266,Georges Niang,3300000
267,Chuma Okeke,3277080
268,Isaiah Stewart,3277080
269,Nickeil Alexander-Walker,3261480
270,Alperen ?engün,3214680
271,Jon Leuer,3169347
272,Aleksej Pokusevski,3113160
273,Goga Bitadze,3098400
274,Trey Murphy III,3053760
275,Sterling Brown,3000000
276,Michael Carter-Williams,3000000
277,Frank Jackson,3000000
278,Josh Green,2957520
279,Tre Mann,2901240
280,Dewayne Dedmon,5256308
281,Andrew Nicholson,2844429
282,Matisse Thybulle,2840160
283,Saddiq Bey,2824320
284,Kai Jones,2770560
285,Brandon Clarke,2726880
286,Precious Achiuwa,2711280
287,Jalen Johnson,2659560
288,Paul Millsap,2641691
289,E'Twaun Moore,2641691
290,Udonis Haslem,2641691
291,Markieff Morris,2641691
292,Trevor Ariza,2641691
293,Dwight Howard,2641691
294,Wayne Ellington,2641691
295,Carmelo Anthony,2641691
296,Enes Freedom,2641691
297,Andre Iguodala,2641691
298,James Johnson,2641691
299,LaMarcus Aldridge,2641691
300,Avery Bradley,2641691
301,Ed Davis,2641691
302,Grant Williams,2617800
303,Tyrese Maxey,2602920
304,Keon Johnson,2553120
305,Darius Bazley,2513040
306,Trey Lyles,2500000
307,Zeke Nnaji,2498760
308,Isaiah Jackson,2451120
309,Ty Jerome,2412840
310,Hassan Whiteside,2401537
311,Kent Bazemore,2401537
312,Austin Rivers,2401537
313,Andre Drummond,2401537
314,Cody Zeller,2389641
315,Ben McLemore,2389641
316,Solomon Hill,2389641
317,Tony Snell,2389641
318,Victor Oladipo,2389641
319,Otto Porter Jr.,2389641
320,Leandro Bolmaro,2353320
321,Usman Garuba,2353320
322,Willy Hernangómez,2327220
323,Nassir Little,2316240
324,R.J. Hampton,2303040
325,Josh Christopher,2259240
326,Monta Ellis,2245400
327,Elfrid Payton,2239544
328,Rodney Hood,2239544
329,Dylan Windler,2239200
330,Immanuel Quickley,2210640
331,John Konchar,2197674
332,Quentin Grimes,2168760
333,Jordan Poole,2161440
334,Bol Bol,2161152
335,Keldon Johnson,2145720
336,Payton Pritchard,2137440
337,Kevin Porter Jr.,2130240
338,Bones Hyland,2096880
339,Raul Neto,2089448
340,Frank Kaminsky,2089448
341,Nemanja Bjelica,2089448
342,Udoka Azubuike,2075880
343,Jaden McDaniels,2063280
